epsilon_s,M_1,M_2,M_3,M_4,M_5,M_6,M_7,M_8,M_9,M_10,M_11,M_12,M_13,M_14,M_15,M_16,M_17,M_18,M_19,M_20,M_21,M_22,M_23,M_24,M_25,M_26,M_27,M_28,M_29,M_30,M_31,M_32,M_33,M_34,M_35,M_36,M_37,M_38,M_39,M_40,M_41,M_42,M_43,M_44,M_45,M_46,M_47,M_48,M_49,M_50,M_51,M_52,M_53,M_54,M_55,M_56,M_57,M_58,M_59,M_60,M_61,M_62,M_63,M_64,M_65,M_66,M_67,M_68,M_69,M_70,M_71,M_72,M_73,M_74,M_75,M_76,M_77,M_78,M_79,M_80,M_81,M_82,M_83,M_84,M_85,M_86,M_87,M_88,M_89,M_90,M_91,M_92,M_93,M_94,M_95,M_96,M_97,M_98,M_99,M_100
M_y,5208.05,3837.29,4189.98,7523.78,4625.98,4712.73,6313.96,5741.34,4335.68,5118.43,4743.78,4824.78,5169.21,4812.82,3580.62,5649.94,5150.74,5082.82,5748.92,5872.67,5190.3,5171.28,4596.69,4405.97,4660.95,5387.99,4184.68,4577.61,4144.75,4883.19,4249.78,4567.92,3786.38,4415.16,4222.18,5439.06,4796.42,5141.83,4356.16,3954.16,4868.54,6036.25,4503.33,5329.57,4168.26,3041.52,5188.2,4833.26,3821.1,4156.19,5073.7,3774.98,4182.67,4362.69,6502.43,4430.65,6136.42,4491.5,3547.72,5896.11,4466.41,4445.8,5217.65,4752.36,5420.74,4368.2,4368.08,4913.11,4819.41,4675.08,3634,6341.49,4627.59,5731.98,4224.39,5159.19,3904.36,5341.88,4504.39,5143.96,5282.22,5279.86,5847.3,4541.55,4099.81,4220.3,5831.46,5491.8,5133.39,5336.92,4707.95,4509.45,5812.99,4567.36,5298.71,3937.24,5299.94,4490.07,5236.58,4969.79
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,122.64,94.9589,106.099,122.797,113.195,122.817,153.342,139.89,102.196,127.256,115.049,126.588,127.093,116.094,87.3021,146.086,119.036,127.317,148.177,148.316,134.626,132.139,110.289,112.876,105.76,134.863,106.614,116.156,106.847,139.078,112.944,113.155,98.8227,130.196,105.424,120.82,130.899,118.209,132.822,101.679,117.879,146.918,124.373,137.973,111.255,114.719,125.493,124.763,90.5329,103.289,123.529,108.502,120.35,109.067,160.91,120.139,126.712,103.313,101.639,143.782,109.089,108.715,139.557,120.861,140.278,103.952,95.4325,119.561,121.534,116.829,88.7197,121.504,121.753,147.678,106.315,127.689,98.7381,128.202,108.367,138.161,135.801,137.384,152.786,116.438,98.7848,107.943,142.56,135.344,115.428,129.907,124.85,114.628,138.34,124.421,136.003,111.3,120.108,118.253,120.762,126.157
50,245.28,189.917,212.197,245.594,226.39,245.633,306.685,279.78,204.392,254.511,230.098,253.176,254.185,232.187,174.603,292.173,238.071,254.634,296.353,296.631,269.251,264.278,220.577,225.751,211.519,269.726,213.228,232.311,213.693,278.157,225.887,226.309,197.644,260.392,210.848,241.64,261.798,236.417,265.643,203.358,235.757,293.835,248.744,275.945,222.51,229.434,250.985,249.526,181.065,206.576,247.057,217.001,240.699,218.133,321.821,240.277,253.423,206.625,203.276,287.564,218.177,217.429,279.114,241.722,280.556,207.903,190.864,239.12,243.066,233.657,177.438,243.008,243.505,295.355,212.628,255.377,197.475,256.403,216.734,276.321,271.601,274.768,305.572,232.874,197.569,215.885,285.12,270.688,230.856,259.813,249.7,229.254,276.68,248.841,272.006,222.599,240.217,236.504,241.524,252.313
75,367.915,284.873,318.292,368.389,339.581,368.442,460.018,419.662,306.585,381.76,345.144,379.756,381.272,348.277,261.903,438.248,357.104,381.945,444.52,444.938,403.867,396.408,330.861,338.621,317.277,404.583,319.839,348.461,320.535,417.219,338.826,339.46,296.464,390.572,316.269,362.458,392.687,354.623,398.45,305.033,353.633,440.743,373.11,413.909,333.76,344.126,376.474,374.283,271.596,309.862,370.58,325.497,361.04,327.196,482.721,360.409,380.132,309.935,304.91,431.339,327.261,326.141,418.661,362.576,420.824,311.852,286.296,358.676,364.593,350.481,266.156,364.51,365.249,443.021,318.938,383.058,296.21,384.599,325.097,414.471,407.392,412.144,458.346,349.308,296.351,323.824,427.672,406.024,346.281,389.716,374.542,343.878,415.014,373.254,408.001,333.892,360.32,354.751,362.281,378.463
100,490.545,379.817,424.374,491.184,452.762,491.24,613.35,559.543,408.769,509.003,460.179,506.332,508.353,464.358,349.193,584.322,476.128,509.25,592.68,593.24,538.482,528.535,441.135,451.481,423.026,539.431,426.437,464.599,427.365,556.28,451.749,452.599,395.268,520.75,421.677,483.268,523.566,472.821,531.246,406.695,471.498,587.649,497.457,551.864,444.994,458.758,501.952,499.028,362.117,413.135,494.097,433.968,481.357,436.248,643.621,480.526,506.838,413.236,406.522,575.11,436.337,434.842,558.199,483.423,561.091,415.792,381.721,478.22,486.111,467.295,354.862,486.009,486.986,590.685,425.236,510.735,394.932,512.79,433.451,552.615,543.183,549.508,611.118,465.727,395.122,431.749,570.222,541.36,461.699,519.607,499.373,458.486,553.345,497.652,543.988,445.165,480.422,472.983,483.034,504.603
125,613.151,474.752,530.445,613.972,565.924,614.001,766.632,699.378,510.944,636.209,575.199,632.856,635.401,580.417,436.474,730.33,595.137,636.52,740.784,741.497,673.035,660.613,551.392,564.317,528.765,674.243,533.025,580.715,534.174,695.24,564.655,565.724,494.065,650.833,527.078,604.065,654.393,591.005,663.961,508.341,589.349,734.501,621.776,689.775,556.214,573.282,627.415,623.745,452.634,516.402,617.585,542.427,601.635,545.282,804.46,600.613,633.527,516.529,508.121,718.839,545.396,543.535,697.68,604.231,701.298,519.721,477.136,597.749,607.598,584.092,443.56,607.498,608.679,738.28,531.518,638.373,493.643,640.946,541.79,690.696,678.917,686.831,763.816,582.134,493.885,539.66,712.72,676.645,577.104,649.483,624.167,573.084,691.637,622.014,679.937,556.414,600.496,591.193,603.762,630.713
150,735.732,569.631,636.453,736.756,679.038,736.71,919.902,839.205,613.072,763.388,690.17,759.361,762.42,696.438,523.716,876.327,714.107,763.76,888.855,889.725,807.584,792.669,661.598,677.104,634.464,809.015,639.55,696.769,640.927,834.194,677.484,678.787,592.791,780.899,632.414,724.829,785.165,709.151,796.619,609.924,707.153,881.335,746.001,827.638,667.353,687.513,752.824,748.405,543.106,619.608,741.043,650.766,721.8,654.266,965.291,720.625,760.201,619.776,609.616,862.548,654.411,652.173,837.12,725.004,841.496,623.603,572.537,717.216,729.04,700.835,532.212,728.973,730.338,885.858,637.737,765.986,592.297,769.083,650.082,828.747,814.643,824.095,916.505,698.469,592.597,647.507,855.211,811.929,692.475,779.299,748.9,687.608,829.914,746.307,815.842,667.568,720.561,709.327,724.466,756.773
175,858.242,664.482,742.435,859.517,792.107,859.312,1073.02,978.89,715.175,890.454,805.108,885.706,889.342,812.396,610.906,1022.12,833.041,890.897,1036.75,1037.82,941.93,924.576,771.764,789.826,740.146,943.685,746.044,812.774,747.631,972.824,790.283,791.829,691.458,910.683,737.704,845.557,915.789,827.263,929.033,711.476,824.926,1028.02,870.167,965.373,778.458,801.486,878.208,872.99,633.546,722.765,864.416,759.014,841.874,763.206,1125.94,840.566,886.828,723.007,711.044,1006.13,763.388,760.78,976.382,845.662,981.503,727.468,667.891,836.657,850.394,817.542,620.812,850.421,851.863,1033.24,743.928,893.479,690.886,897.108,758.344,966.602,950.197,961.244,1068.96,814.766,691.286,755.329,997.54,947.045,807.814,909.088,873.535,802.09,968.069,870.501,951.636,778.672,840.535,827.415,845.098,882.751
200,980.672,759.191,848.241,982.269,905.021,981.752,1226.09,1118.54,817.156,1017.43,919.891,1011.99,1016.17,928.236,698.04,1167.87,951.849,1017.94,1184.55,1185.82,1076.27,1056.41,881.77,902.396,845.7,1078.23,852.381,928.582,854.155,1111.43,902.839,904.672,790.015,1040.38,842.884,966.185,1046.24,945.256,1061.27,812.827,942.549,1174.62,994.038,1102.96,889.333,914.562,1003.42,997.397,723.905,825.827,987.693,867.061,961.591,871.986,1286.55,960.269,1013.4,826.104,812.257,1149.64,872.225,869.26,1115.52,966.211,1121.48,831.184,763.207,955.902,971.609,934.08,709.345,971.824,973.282,1180.53,849.92,1020.9,789.392,1025.07,866.456,1104.36,1085.71,1098.21,1221.38,930.883,789.837,862.945,1139.83,1082.16,923.047,1038.69,997.98,916.399,1106.18,994.478,1087.29,889.475,960.483,945.263,965.655,1008.57
225,1102.95,853.78,953.931,1104.97,1017.87,1103.98,1378.85,1257.88,919.034,1144.17,1034.63,1137.91,1142.79,1043.96,784.998,1313.18,1070.6,1144.76,1331.97,1333.52,1210.12,1187.91,991.72,1014.85,951.198,1212.55,958.586,1044.32,960.609,1249.29,1015.29,1017.42,888.346,1169.49,947.876,1086.75,1176.38,1063.2,1192.97,914.1,1060.13,1320.94,1117.83,1240.27,1000.06,1027.25,1128.56,1121.67,814.138,928.699,1110.79,974.753,1081.18,980.703,1446.74,1079.86,1139.88,929.125,913.204,1292.86,981.004,977.613,1254.27,1086.51,1261.02,934.83,858.436,1075.07,1092.65,1050.57,797.694,1093.18,1094.41,1327.43,955.837,1148.05,887.667,1152.79,974.531,1241.68,1220.85,1234.94,1373.27,1046.84,888.291,970.47,1281.78,1216.88,1038.23,1168.22,1122.24,1030.54,1244.01,1118.28,1222.72,1000.18,1080.22,1063.05,1086.06,1134.24
250,1225.04,948.178,1059.37,1227.64,1130.34,1225.81,1531.43,1397.12,1020.75,1270.7,1149,1263.69,1269.19,1159.39,871.849,1458.33,1189.05,1271.35,1479.14,1481,1343.97,1319.26,1101.28,1126.93,1056.47,1346.57,1064.57,1159.58,1066.63,1387.07,1127.34,1129.87,986.567,1298.32,1052.75,1207.07,1306.12,1180.85,1324.26,1015,1177.35,1466.98,1240.93,1377.23,1110.47,1137.86,1253.37,1245.51,904.279,1031.48,1233.66,1082.23,1199.91,1089.03,1606.82,1198.88,1266.23,1031.95,1013.88,1435.93,1089.44,1085.8,1392.72,1206.55,1400.5,1038.24,953.533,1193.88,1213.35,1166.65,885.938,1214.42,1215.28,1474.06,1061.38,1275.02,985.81,1280.36,1082.24,1378.79,1355.87,1371.23,1525.04,1162.56,986.548,1077.66,1423.6,1351.6,1153.15,1297.4,1246.04,1144.45,1381.73,1241.55,1357.82,1110.27,1199.9,1180.28,1206.28,1259.52
275,1346.88,1042.22,1164.45,1350.21,1242.73,1347.3,1683.51,1535.8,1122.15,1396.78,1263.24,1388.78,1395.22,1274.65,958.407,1602.72,1307.43,1397.55,1625.6,1627.93,1476.87,1449.96,1210.74,1238.86,1161.56,1480.24,1170.18,1274.72,1172.54,1523.48,1239.03,1241.99,1084.21,1426.17,1157.13,1327.32,1435.32,1298.44,1454.59,1115.63,1294.46,1612.63,1363.79,1513.74,1220.41,1248.09,1377.96,1369.17,994.084,1133.76,1356.23,1188.8,1318.44,1197.27,1766.17,1317.79,1392.42,1134.53,1113.85,1578.45,1197.81,1193.62,1530.46,1326.16,1539.1,1141.42,1048.53,1312.43,1333.77,1282.6,973.829,1335.58,1335.63,1620.06,1166.67,1401.5,1083.52,1407.47,1189.83,1515.07,1490.23,1507.16,1675.88,1277.81,1084.51,1184.54,1564.81,1485.54,1268.03,1426.33,1369.56,1257.87,1518.92,1364.57,1492.53,1220.02,1319.18,1297.3,1326.23,1384.57
300,1468.32,1136.08,1269.25,1472.74,1354.39,1468.01,1835.14,1674.22,1223.4,1522.45,1376.93,1513.6,1520.81,1389.31,1044.64,1746.71,1425.22,1523.29,1771.61,1774.43,1609.77,1580.36,1319.54,1350.03,1266.37,1613.28,1275.56,1389.05,1277.66,1659.66,1350.21,1353.77,1181.57,1553.33,1261.28,1447.06,1563.71,1415.47,1584.15,1215.77,1411.03,1757.57,1485.66,1649.53,1330,1354.48,1502.12,1491.95,1083.73,1235.8,1478.32,1294.94,1435.48,1304.8,1925.22,1435.54,1518.35,1236.88,1213.53,1720.68,1305.53,1301.3,1667.64,1445.24,1677.63,1244.3,1143.25,1430.53,1453.51,1397.95,1061.41,1456.51,1455.48,1765.4,1271.48,1527.63,1180.84,1534.3,1296.91,1650.95,1624.28,1642.19,1826.39,1392.83,1182.26,1291.02,1705.72,1619.47,1382.37,1554.81,1492.15,1371.09,1655.91,1486.54,1626.59,1328.96,1438.34,1413.56,1445.82,1508.84
325,1589.38,1229.15,1373.24,1595.09,1465.84,1588.24,1986.1,1811.81,1323.96,1647.42,1490.25,1637.26,1645.83,1503.76,1130.62,1889.59,1542.83,1648.42,1916.44,1920.03,1741.05,1709.7,1428.04,1461.04,1370.72,1745.8,1380.09,1503.02,1382.49,1793.7,1460.55,1464.79,1278.3,1679.2,1364.78,1566.71,1691.3,1532.33,1712.12,1315.27,1527.25,1902.16,1606.84,1784.63,1438.56,1460.66,1625.7,1614.56,1172.89,1337.31,1599.97,1399.92,1551.99,1412.07,2083.14,1553.02,1644.03,1338.67,1311.86,1861.99,1413.04,1408.17,1803.66,1563.65,1814.65,1346.63,1237.71,1547.96,1572.87,1512.9,1148.66,1577.33,1574.48,1909.94,1375.65,1652.96,1277.75,1660.37,1403.62,1785.44,1757.33,1776.74,1975.48,1506.84,1279.33,1396.75,1845.7,1752.1,1496.58,1682.67,1614.41,1483.26,1792,1608.23,1760.06,1437.05,1556.83,1529.21,1565,1632.83
350,1709.74,1321.95,1476.98,1717.37,1576.31,1707.11,2136.11,1948.84,1424.28,1771.69,1602.88,1760.54,1770.07,1617.16,1215.83,2031.6,1659.65,1772.76,2060.53,2064.92,1872.31,1838.57,1535.68,1570.71,1474.78,1877.21,1484.32,1615.93,1486.28,1927.16,1570.38,1575.49,1374.2,1803.51,1467.62,1685.52,1817.53,1648.43,1838.96,1414.23,1642.82,2045.22,1726.81,1918.5,1546.82,1561.05,1748.83,1735.59,1261.62,1438.09,1720.78,1503.76,1666.54,1518.4,2240.41,1668.95,1769.23,1440.27,1409.57,2002.82,1519.7,1514.75,1938.76,1681.17,1951.62,1448.69,1331.96,1664.92,1691.03,1627.11,1235.13,1697.74,1692.67,2053.07,1479.29,1777.7,1373.71,1785.96,1509.7,1919.35,1889.72,1909.7,2123.84,1620.49,1376.18,1502.08,1985.05,1884.69,1610.07,1810.05,1735.03,1595.05,1927.76,1728.07,1892.4,1544.18,1675.12,1643.93,1683.53,1755.45
375,1829.58,1413.7,1579.3,1839.37,1686.25,1825.35,2285.42,2084.78,1523.68,1894.89,1714.73,1881.97,1893.49,1730.34,1300.68,2172.26,1776,1896.21,2202.83,2208.45,2001.16,1965.77,1642.65,1680.25,1577.94,2007.93,1587.35,1728.05,1589.41,2057.83,1678.59,1684.74,1469.58,1926.64,1569.88,1804.11,1942.62,1764.09,1963.34,1511.92,1757.61,2188.27,1845.38,2051.41,1653.24,1661.3,1870.81,1856.46,1349.89,1538.44,1840.97,1606.51,1779.97,1624.14,2396.21,1784.2,1894.11,1540.78,1505.81,2142.24,1625.85,1620.41,2072.1,1797.71,2086.15,1549.67,1425.55,1780.59,1808.72,1740.46,1321.26,1818.04,1809.59,2195.52,1581.68,1901.22,1469.24,1910.39,1614.99,2051.07,2020.84,2042.08,2270.36,1732.79,1471.94,1605.99,2123.19,2015.33,1723.2,1936.19,1855.31,1705.57,2062.12,1847.68,2023.93,1649.69,1792.35,1757.43,1801.48,1877.77
400,1948.31,1504.77,1681.13,1961.24,1794.97,1941.54,2432.87,2219.61,1622.48,2017.08,1825.81,2003,2015.72,1841.82,1384.58,2311.19,1891.38,2018.47,2344.14,2350.94,2129.88,2092.39,1748.59,1787.73,1680.89,2136.95,1689.67,1838.9,1691.26,2187.15,1786.43,1793.64,1563.29,2046.67,1670.75,1921.61,2065.75,1878.83,2086.46,1609.15,1871.68,2328.42,1962.59,2182.48,1759.12,1754.63,1992.41,1974.99,1437.21,1637.31,1959.87,1707,1890.96,1728.72,2550.72,1897.47,2018.2,1640.97,1600.6,2280.99,1730.95,1725.27,2204.24,1912.94,2220.69,1650.37,1518.77,1895.88,1924.55,1852.98,1406.21,1937.63,1925.37,2335.25,1683.61,2023.9,1563.32,2034.13,1719.6,2182.15,2150.65,2172.04,2415.39,1844.23,1567.22,1709.6,2260.11,2145.82,1835.44,2061.95,1973.06,1815.13,2196.06,1964.42,2153.73,1754.21,1909.33,1869.91,1918.41,1997.93
425,2066.35,1594.77,1781.4,2082.71,1902.71,2056.92,2579.97,2353.33,1720.34,2137.72,1935.5,2121.21,2136.81,1953.14,1467.64,2448.96,2005.88,2139.46,2482.76,2491.45,2255.43,2216.49,1853.35,1895.03,1782.31,2265.05,1790.74,1948.38,1791.95,2313.59,1891.63,1900.58,1656.46,2166.56,1771.18,2038.62,2187.23,1992.74,2205.78,1704.27,1984.38,2468.58,2077.53,2312.21,1862.94,1847.1,2112.03,2093.25,1524.22,1735.67,2077.93,1806.7,2000.29,1832.24,2703.66,2009.61,2141.89,1739.93,1693.99,2417.63,1835.1,1829.26,2333.73,2026.75,2351.83,1749.5,1611.44,2008.99,2039.8,1964.01,1490.45,2057.14,2039.26,2474.97,1783.46,2144.79,1656.52,2156.17,1822.83,2309.89,2279.21,2301.28,2558.54,1954.28,1661.3,1810.96,2395.77,2273.69,1946.95,2185.58,2090.46,1923.42,2327.89,2081.04,2282.45,1856.17,2024.72,1980.36,2034.55,2117.83
450,2182.81,1683.44,1880.57,2204.01,2009.03,2169.56,2723.74,2484.98,1816.98,2257.11,2044.42,2239.34,2256.32,2062,1549.93,2583.5,2119.27,2258.92,2620.45,2630.73,2380.49,2340.16,1956.93,1999.63,1883.38,2390.83,1890.4,2056.39,1891.12,2437.13,1996.47,2006.78,1747.51,2280.63,1869.39,2154.3,2306.37,2105.57,2324.48,1799.11,2096.38,2605.48,2190.97,2439.59,1965.59,1933.73,2231.31,2208.47,1609.57,1832.25,2194.21,1902.79,2106.52,1934.4,2854.18,2119.27,2264.39,1838.09,1784.94,2553.59,1938.04,1931.7,2462.06,2138.94,2482.8,1848.09,1703.16,2121.73,2152.49,2074.18,1573.61,2175.55,2151.88,2609.93,1883.02,2264.72,1748.41,2277.42,1925.39,2437.39,2405.29,2427.25,2698.81,2062.66,1754.36,1911.85,2529.16,2401.13,2057.44,2308.82,2204.41,2029.88,2459.35,2193.7,2408.84,1957.14,2139.89,2089.76,2149.28,2234.65
475,2298.36,1771.12,1978.12,2324.73,2113.86,2281.05,2867.51,2615.94,1912.79,2374.25,2151.22,2353.22,2374.2,2170.74,1630.57,2717.91,2231.26,2376.54,2754.12,2767.11,2502.02,2460.07,2058.77,2104.01,1982.74,2515.32,1988.88,2162.43,1988.65,2559.04,2098.01,2110.82,1837.51,2394.71,1966.89,2269.14,2423.02,2217.07,2437.2,1890.89,2206.26,2741.46,2301.36,2565.01,2066.01,2016.91,2347.96,2323.39,1694.43,1927.75,2309.34,1998.44,2211,2034.98,3003.62,2227.49,2386.4,1934.98,1874.64,2686.44,2039.52,2033.45,2586.39,2249.06,2609.79,1944.95,1794.37,2231.65,2264.41,2182.12,1655.29,2293.88,2261.71,2744.81,1979.53,2382.02,1838.52,2396.17,2025.87,2559.82,2530.8,2552.22,2838.05,2169.74,1846.25,2010.17,2661.83,2525.52,2166.75,2429.33,2317.91,2135.23,2587.71,2306.25,2533.71,2054.67,2252.72,2196.29,2262.92,2351.22
500,2411.92,1856.73,2073.91,2445.21,2217.01,2389.46,3006.97,2743.28,2006.61,2490.23,2257.29,2467.09,2490.34,2276.26,1710.73,2846.58,2341.98,2492.54,2887.59,2902.49,2622.17,2579.98,2159.26,2204.87,2081.32,2637.11,2085.14,2266.74,2084.35,2675.1,2199.04,2213.59,1925.43,2503.84,2062.16,2382.38,2537.58,2327.36,2549.92,1982.55,2315.51,2874.75,2409.97,2687.97,2164.66,2098.91,2464.01,2434.32,1777.62,2021.57,2422.33,2089.4,2311.27,2133.98,3148.74,2332.52,2506.79,2030.48,1961.03,2818.96,2139.61,2132.73,2710.41,2357.61,2735.93,2040.78,1884.35,2340.98,2373.24,2289.21,1736.17,2410.74,2370.64,2875.28,2075.87,2498.62,1927.62,2514.35,2125.72,2682.25,2651.9,2673.4,2972.01,2274.23,1936.44,2107.64,2790.46,2648.81,2274.89,2549.15,2427.29,2237.77,2716.07,2414.06,2655.96,2151.12,2365.56,2301.7,2374.82,2463.92
525,2524.2,1941.46,2168.05,2564.9,2318.31,2495.98,3145.76,2870.62,2099.79,2602.84,2360.51,2576.36,2604.05,2381.64,1788.38,2975.26,2450.8,2605.81,3014.96,3033.53,2739.32,2694.81,2257.54,2305.73,2178.04,2756.96,2180.34,2368.69,2178.15,2791.17,2296.17,2313.99,2011.6,2610.33,2156.04,2494.46,2648.16,2435.83,2656.13,2070.37,2421.86,3005.14,2515.18,2807.86,2260.85,2171.95,2577.07,2545.25,1859.78,2113.51,2533.63,2180.18,2410.72,2231.02,3293.87,2436.29,2626.56,2124.72,2046.22,2946.89,2237.82,2231.64,2828.23,2463,2858.31,2134.75,1973.32,2447.03,2480.84,2393.36,1814.66,2527.45,2475.28,3003.75,2168.47,2611.28,2013.94,2628.83,2222.78,2799.1,2773.01,2792.93,3105.97,2377.57,2025.51,2202.16,2919.08,2769.24,2381.39,2665.86,2535.8,2339.42,2839.94,2521.43,2775.86,2243.7,2475.08,2403.63,2485.18,2576.17
550,2634.33,2023.45,2259.87,2684.31,2417.48,2599.87,3281.03,2993,2190.17,2715.05,2462.96,2684.74,2716.36,2483.25,1865.46,3098.99,2558.14,2717.95,3142.33,3164.58,2853.26,2809.35,2354.16,2402.07,2273.58,2874.28,2272.58,2468.42,2269.55,2900.14,2392.93,2412.72,2095.76,2715.82,2247.72,2604.58,2758.12,2542.89,2760.83,2158.2,2527.61,3134.93,2617.93,2926.11,2354.97,2244.98,2689.25,2650.98,1940.31,2203.97,2642.85,2265.53,2503.98,2326.06,3432.67,2535.68,2744.29,2216.98,2127.67,3074.82,2334.31,2327.08,2946.05,2567.66,2978.33,2227.25,2061.43,2552.34,2585.38,2496.57,1892.73,2642.33,2579.92,3130.02,2261.07,2723.94,2099.63,2743.31,2319.21,2914.86,2889.03,2908.94,3233.42,2477.49,2112.25,2295.7,3042.44,2887.21,2486.54,2781.56,2640.26,2437.36,2963.78,2624.06,2893.55,2334.67,2584.57,2504.12,2593.75,2684.23
575,2742.47,2104.64,2349.88,2802.65,2514.84,2700.38,3413.46,3114.81,2280.12,2822.12,2562.07,2789.52,2824.92,2584.41,1940.05,3220.35,2663.27,2825.85,3263.86,3289.14,2966.26,2919.43,2448.46,2498.31,2367.06,2988.39,2363.8,2565.96,2359.35,3007.24,2484.82,2508.73,2177.66,2813.33,2337.46,2713.37,2861.46,2647.78,2862.28,2241.59,2629.88,3258.31,2717.92,3039.32,2446.15,2315.39,2797.94,2756.62,2019.27,2291.81,2749.39,2350.89,2597.24,2419.19,3570.93,2634.99,2861.17,2307.97,2207.61,3197.48,2428.81,2422.33,3058.06,2667.29,3096.19,2317.69,2147.62,2653.74,2687.7,2596.42,1967.54,2757.01,2678.8,3250.56,2349.06,2831.21,2181.63,2852.78,2412.35,3026.65,3003.85,3021.84,3359.53,2576.31,2197.9,2385.66,3165.01,3003.61,2589.71,2893.66,2742.72,2534.54,3083.16,2725.18,3007.37,2422.33,2690.58,2601.15,2699.98,2791.17
600,2848.87,2182.67,2437.42,2920.7,2609.25,2800,3544.88,3233.08,2366.58,2929.18,2660.17,2891.29,2933.35,2681.83,2013.68,3340.07,2766.48,2933.74,3383.64,3413.65,3072.83,3027.49,2540.44,2590.21,2459.11,3101.22,2451.65,2660.27,2445.67,3112.7,2576.71,2603.11,2257.42,2910.84,2424.92,2819.67,2964.8,2750.88,2957.87,2324.81,2731.39,3381.68,2813.88,3152.52,2535.64,2378.14,2905.81,2857.36,2096.64,2378.29,2854.68,2430.58,2684.41,2509.5,3704.8,2727.85,2975.78,2396.53,2284.3,3319.35,2520.97,2513.59,3168.15,2766.92,3208.87,2406.48,2233.13,2754.72,2787.94,2694.95,2042.16,2869.4,2777.2,3371.1,2437.04,2938.21,2263.33,2961.99,2504.65,3134.53,3115.89,3132.95,3482.43,2671.3,2280.8,2475.08,3284.11,3115.13,2691.18,3004.81,2842.48,2627.51,3201.42,2822.96,3120.58,2507.01,2795.86,2695.86,2804.95,2894.49
625,2952.06,2259.72,2522.64,3037.33,2702.61,2893.6,3669.64,3348.18,2452.72,3031.22,2754.94,2992.3,3035.83,2777.97,2084.76,3452.82,2867.6,3035.72,3500.28,3532.97,3179.39,3133.36,2630.7,2681.01,2548.73,3208.61,2538.24,2753.53,2531.63,3209.74,2663.22,2694.01,2334.97,3005,2510.26,2924.83,3062.71,2851.88,3053.45,2403.84,2829.27,3500.46,2909.24,3258.65,2621.11,2440.9,3009.36,2956.81,2172.09,2461.72,2955.59,2509.68,2769.85,2598.7,3834.82,2820.71,3089.09,2483.67,2358.38,3437.22,2611.61,2604.85,3275.67,2861.27,3321.55,2492.76,2316.39,2850.72,2884.08,2790.33,2113.11,2981.65,2871.81,3485.1,2520.5,3041.02,2340.75,3067.09,2593.66,3242.41,3223.23,3238.22,3599.33,2764.87,2362.43,2559.81,3399.39,3226.65,2790.67,3111.51,2937.98,2719.51,3316.37,2916.92,3227.33,2590.4,2898.24,2788.22,2906.23,2995.19
